重复组号,重复条数,涉及景点数,评论内容,涉及景点,评论编号列表
210,4,4,好。。。。。。。。。。。。。。。。。,八廓街、大昭寺、珠峰大本营、纳木措景区,169502308、169942302、169476852、169517026
211,4,3,有趣好玩，性价比高，,大昭寺、甘露曲秘藏药浴疗(甘露大厦店)、纳木措景区,166900101、166650048、166680304、165064555
212,4,3,非常好用，即买即用，方便快捷。,巴松措、来古冰川、索松村,207163167、207163181、207163153、207163146
213,4,2,很不错，值得去,松赞林景区、稻城亚丁,812961255、763711873、763711719、171486999
214,4,4,风景不错。,噶丹松赞林寺、普达措国家公园、松赞林景区、稻城亚丁,792577164、180022102、768078662、213829260
215,4,3,挺好的挺好的,南迦巴瓦峰、松赞林景区、稻城亚丁,754189220、754189080、179998331、211111643
216,4,4,非常漂亮的地方,墨石公园景区、巴塘措普沟景区、巴松措、稻城亚丁,243301976、184369046、222612958、797341679
217,4,2,怎么会有这么美丽的地方呢？在这里两天一晚仿佛在一个奇妙的梦境傍晚去观景台结果突然下雨，我们也还是淋了一会没有急着回客栈因为太美了！！真的好贪恋这里的景色！！看了一天还是看不够的… 我觉得这个季节去九寨还是蛮好的水量丰富 不晒 不冷。,墨石公园景区、稻城亚丁,229965702、229965856、229965198、229965233
218,4,2,今天来打卡了这个热门景点，整体体验特别棒！从市区过来很方便，坐公交直达景区门口，下车就能看到清晰的导览图，跟着指示走完全不用怕迷路。   核心景观比照片里更让人惊艳，尤其是上午阳光正好的时候，光线洒在景物上，随手拍都是能发朋友圈的大片。景区里的配套也很贴心，沿途每隔一段路就有休息椅，卫生间干净又整洁，还设有母婴室，对带娃家庭特别友好。   唯一小建议是周末游客会多一点，想错峰的话可以选工作日来。如果时间充裕，推荐在景区里的文创店逛逛，有很多设计独特的小纪念品，价格适中，买回去当伴手礼很合适。总之，不管是和朋友结伴还是带家人出游，这里都值得一来！,墨石公园景区、稻城亚丁,224899193、224898885、224898815、224898808
219,4,3,体验不佳，,《文成公主》大型史诗剧、大昭寺、稻城亚丁,164617901、164758653、163847964、164106049
220,4,3,不错，值得推荐,墨石公园景区、康定木格措景区、白水台,692170788、692171131、218633668、177275341
221,4,3,风景美如画,南迦巴瓦峰、巴松措、珠峰景区,222261082、210237805、221651935、216923939
222,4,3,非常值得去！,噶丹松赞林寺、松赞林景区、珠峰景区,183842317、642432253、179166486、669634855
223,4,4,非常好的地方，历史悠久，非常值得看一看！,大昭寺、小昭寺、独克宗古城、珠峰大本营绒布寺,173505609、175590914、171455065、173320584
224,4,4,非常不错。,大昭寺、巴塘措普沟景区、松赞林景区、珠峰大本营,228654917、212618533、745192022、218035315
225,4,4,讲解很到位,小昭寺、布达拉宫、扎什伦布寺、珠峰大本营,218508270、215141207、217621580、177768434
226,4,1,久闻世界之巅 远远不如亲自见一面 经历了108拐  吹过了5200米的风 当我站在世界之巅珠穆朗玛峰脚下 这一刻珠穆朗玛峰再也不是课本里面的珠穆朗玛峰 登高望远 一览众山小,珠峰大本营,213236892、213236885、213236878、213236822
227,4,4,环境一流，风景绝美，海拔较高，空气稀薄，是一生必须去一次的打卡地。,扎什伦布寺、拉昂错、洞错、玛旁雍措,177503159、175916960、178405166、175354063
228,4,1,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。,格萨尔王城,165698241、165692241、165692205、165685561
229,4,3,非常不错啊,噶丹松赞林寺、康定木格措景区、松赞林景区,220435748、227092706、227092671、226760633
230,4,3,不错的景点,亚拉雪山风景区、巴塘措普沟景区、松赞林景区,219739388、167298579、220809821、227680384
231,4,3,挺好的不错,噶丹松赞林寺、巴松措、松赞林景区,170799999、763444193、763443913、202767524
232,4,4,景色很美，值得一去,墨石公园景区、巴松措、康定木格措景区、松赞林景区,166654402、178879077、218527499、164754484
233,4,4,非常不错的体验,噶丹松赞林寺、巴松措、康定木格措景区、松赞林景区,165465625、208869872、163846193、179239033
234,4,3,好玩爱玩常玩,勒通古镇·千户藏寨、墨石公园景区、木雅圣地景区,784500641、784500291、784498121、784500466
235,4,2,风景优美。,巴塘措普沟景区、普达措国家公园,234551416、818413786、818414094、818413912
236,4,2,棒棒的非常棒非常好看非常非常好看不错非常不错非常不错非常好不错非常不错非常不错棒棒的非常棒非常好看非常非常好看不错非常不错非常不错非常好不错非常不错非常不错,噶丹松赞林寺、普达措国家公园,179258619、179258641、179258631、179258607
237,4,3,值得推荐的景点,南迦巴瓦峰、巴松措、康定木格措景区,791994533、216121515、216120500、180238006
238,4,1,车子开到门口，有人指挥停车。门口很多工作人员提醒做好防晒工作。坐光观车上山，说实话景色一般，不如自驾途中风景优美。坐船到达终点有骑马的项目，消费不算贵，不过景点实在体验感很一般。,康定木格措景区,779446074、779445871、779445675、779445178
239,4,3,感觉还不错,卡定沟景区、布达拉宫、康定木格措景区,704092873、227720669、162562816、782626139
240,4,1,来了几次了，这次天气不错，山顶看到了不远处的雪山，吃到了温泉鸡蛋,康定木格措景区,686639612、686639514、686639171、686639346
241,4,1,管理规范。,康定木格措景区,218570647、218570591、218570556、218570521
242,4,2,方便省心，省去排队时间，值得推荐 方便省心，省去排队时间，值得推荐 方便省心，省去排队时间，值得推荐 方便省心，省去排队时间，值得推荐,墨石公园景区、康定木格措景区,173502542、173502529、173502528、173502498
243,4,1,导游非常专业,布达拉宫,779594586、218135457、218135401、179172694
244,4,2,导游讲解很好,大昭寺、布达拉宫,706797232、218841953、217218128、177394855
245,4,2,有待改进，,《文成公主》大型史诗剧、布达拉宫,166469956、166368224、165513442、166151034
246,4,2,阳光明媚，风景这里独好,南迦巴瓦峰、巴松措,217165621、217165558、217165502、217165677
247,4,4,总体来说还是很不错的一家景区。,南伊沟、南迦巴瓦峰、多吉扎寺、巴松措,171492214、171516604、170891873、171235327
248,3,3,非常好！！！,羊卓雍错、雅鲁藏布大峡谷、鲁朗林海,175743622、175743619、175743631
249,3,3,一般，很一般,巴塘措普沟景区、布达拉宫、香格里拉巴拉格宗风景名胜区,662976854、167126248、220893611
250,3,3,值得去一趟,世界柏树王园林、纳木措景区、香格里拉巴拉格宗风景名胜区,573987366、669759833、192493372
251,3,2,环境非常好,巴松措、香格里拉巴拉格宗风景名胜区,221429825、228625965、179880247
252,3,3,可以可以可以可以,噶丹松赞林寺、来古冰川、香格里拉巴拉格宗风景名胜区,174813198、203481503、174716131
253,3,3,风景非常美丽,巴塘措普沟景区、羊卓雍错、香格里拉巴拉格宗风景名胜区,174649983、688221115、215891621
254,3,3,景色不错，有趣好玩，总体超赞，,普达措国家公园、羊卓雍错、香格里拉巴拉格宗风景名胜区,166377274、165343289、164910522
255,3,3,还可以，景色不错,布达拉宫、稻城亚丁、香格里拉巴拉格宗风景名胜区,165924833、721509545、178176735
256,3,3,有趣好玩，体验很好，值得推荐，景色不错，,大昭寺、纳木措景区、香格里拉巴拉格宗风景名胜区,164042739、164562956、163990485
257,3,2,美丽的风景,噶丹松赞林寺、香格里拉巴拉格宗风景名胜区,161861697、167345245、167345243
258,3,3,【景色】景色优美 【趣味】趣味十足 【性价比】价格亲民,岗托村、明永冰川、雨崩下村,175703336、178243631、174490486
259,3,2,环境还不错,噶丹松赞林寺、雅鲁藏布大峡谷,826925499、646883007、642491067
260,3,2,很好。一身应该是去一次的地方。,墨石公园景区、雅鲁藏布大峡谷,823886344、823886071、823886911
261,3,3,景区整体体验超预期，环境优美，空气清新，自然景观与人文底蕴兼具，视野开阔，拍照很出片。景区规划合理，路标清晰，游玩动线顺畅不拥挤，配套设施完善，卫生间干净，休息区充足。工作人员服务热情，态度友好，有问题都能耐心解答。门票价格合理，性价比高，游玩项目丰富，适合全家出行、朋友结伴。整体秩序良好，卫生维护到位，没有过度商业化的嘈杂感。既能放松身心，又能感受独特风光，游玩过程轻松惬意，完全不虚此行，值得推荐给大家，五星好评！,巴松措、纳木措景区、雅鲁藏布大峡谷,746014130、743507528、746013913
262,3,3,很美很好看,南迦巴瓦峰、噶丹松赞林寺、雅鲁藏布大峡谷,744017268、644581407、227628899
263,3,3,👍👍👍,世界柏树王园林、南迦巴瓦峰、雅鲁藏布大峡谷,221991365、212846145、221991344
264,3,3,特别值得去,大昭寺、纳木措景区、雅鲁藏布大峡谷,220955141、220954917、166252837
265,3,3,好！！！！！！,巴松措、普达措国家公园、雅鲁藏布大峡谷,219452745、707357001、219452794
266,3,2,很美值得一去,纳木措圣象天门、雅鲁藏布大峡谷,215634826、216486131、216486201
267,3,3,可玩性低，性价比低，,噶丹松赞林寺、普达措国家公园、雅鲁藏布大峡谷,164948350、164391541、166060171
268,3,1,旅游嘛，就是到处走走看看，川藏线旅游的必打卡点，雅鲁藏布江应该是相对出名的景点，但是百闻不如一见，看了后也就这个样吧！一路的雪山看够了，也就这样吧！240元的门票感觉坑了点。没什么特别之处，就算是到此一游。,雅鲁藏布大峡谷,163443672、163443720、163443693
269,3,3,有时间可以来这里逛一逛，体验一下,山南市桑日县亲猴台、岗托村、阿里暗夜公园,178316067、178835844、178820862
270,3,3,景色宜人，很不错的选择，很喜欢这个地方！,《亚丁密码》冒险秀、直贡梯寺、阿里暗夜公园,174075718、172292472、176210029
271,3,3,景色优美，空气清新，交通便利，旅游的好地方,大脚印奇观、白马雪山、长江第一湾,172385693、163699290、175824621
272,3,3,【景色】好 【趣味】好 【性价比】好,哲蚌寺、药王山、长江第一湾,170471731、172234799、175868895
273,3,3,风景不错的地方了，值得一去的地方了,西藏博物馆、西藏盐井景区、西藏羊湖荒地星空营地,178285471、178320836、178302547
274,3,2,值得，风景绝美，内部进入很方便。白色旅游大巴直达湖边，红色双层大巴绕湖行走时很注意游客体验，遇到风景好的地方行驶很缓慢，让游客好好拍照。,纳木措景区、西藏纳木错自然保护区-扎西岛寺,189299475、189299440、189299853
275,3,3,景色还可以,墨石公园景区、康定木格措景区、虎跳峡(香格里拉段),791101466、218434819、790203758
276,3,3,非常满意！,布达拉宫、普达措国家公园、虎跳峡(香格里拉段),787448600、787448754、220370200
277,3,3,值得推荐！,大昭寺、格萨尔王城、虎跳峡(香格里拉段),783406583、164533764、187342975
278,3,3,很好值得去,噶丹松赞林寺、稻城亚丁、虎跳峡(香格里拉段),735685721、795530828、210357708
279,3,1,满意！！！！！！,虎跳峡(香格里拉段),707356427、638769370、638769265
280,3,3,体验非常好！,噶丹松赞林寺、明永冰川、虎跳峡(香格里拉段),233234107、233234135、233233897
281,3,2,携程预订，方便快捷，还不错，有些优惠,噶丹松赞林寺、虎跳峡(香格里拉段),230182541、230182485、230182520
282,3,3,很好，值得去,扎什伦布寺、羊卓雍错、虎跳峡(香格里拉段),227620534、205510439、174651969
283,3,2,很好看，很震撼,《文成公主》大型史诗剧、虎跳峡(香格里拉段),222505599、218443310、760946908
284,3,1,值回票价，非常不错,虎跳峡(香格里拉段),222494805、222494742、222494714
285,3,1,风景不错，很凉快，适合避暑,虎跳峡(香格里拉段),219827182、219827119、219827154
286,3,2,很好，值得一去,南迦巴瓦峰、虎跳峡(香格里拉段),218726614、218726663、648833613
287,3,2,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,属都湖、虎跳峡(香格里拉段),218656943、218656817、180718888
288,3,2,不错不错 值得推荐,白水台、虎跳峡(香格里拉段),218277963、218277935、218277984
289,3,1,真不错，江水湍急，澎湃咆哮，现场看起来还是挺震撼的，最好是找一路走下去，看完再坐电梯上来。,虎跳峡(香格里拉段),209066215、209066208、209066201
290,3,1,服务很差，明明可以开车进去，非制造拥堵，让坐旅游大巴。携程订票记得在坐大巴处换票。切记，开车进就好，就说去中虎跳，停路边换票即可。,虎跳峡(香格里拉段),207922828、207922723、207922996
291,3,3,值得一去的景点,康定木格措景区、稻城亚丁、虎跳峡(香格里拉段),199079455、678272295、221436972
292,3,3,值得推荐，体验很好，景色不错，,石卡雪山、羊卓雍错、虎跳峡(香格里拉段),164264154、164769594、163983029
293,3,1,种类齐全，知识点很丰富，小朋友第二次来了，讲得也非常好，推荐给大家。,藏域星球天文体验馆,171927128、171927166、171927152
294,3,3,不错不错！,墨石公园景区、蓝色天国羊八井地热旅游区、藏域星球天文体验馆,171754855、163371368、191816430
295,3,2,总体超赞，有趣好玩，,大昭寺、藏域星球天文体验馆,166780509、166763975、165553079
296,3,3,风景绝美，海拔较高，空气稀薄，是一生必须去一次的打卡地。,当惹雍措、拉昂错、色林措,173532394、173474724、172898357
297,3,2,非常壮丽，祖国的大好河山,巴松措、羊卓雍错,806750820、806751142、806750974
298,3,2,好好好好好好好好好,珠峰景区、羊卓雍错,724686992、198514765、242666285
299,3,3,不错的选择,布达拉宫、松赞林景区、羊卓雍错,688035475、656981613、218238196
300,3,2,景色秀丽宜人,巴松措、羊卓雍错,228346091、223237246、219746654
301,3,3,好看好看好看,墨石公园景区、松赞林景区、羊卓雍错,191952370、172265233、182087991
302,3,3,环境一流，风景绝美，海拔太高，是一生必须去一次的打卡地。,珠峰大本营、珠穆朗玛峰、羊卓雍错,175537939、174828048、174476601
303,3,3,不错不错不错不错不错不错不错不错不错,塔公寺、大昭寺、羊卓雍错,172009591、166032880、171985779
304,3,3,这个不错挺好的，值得再去体验一次。,八廓街、大昭寺、羊卓雍错,171217146、171217142、171217119
305,3,2,一场美好的旅程,大昭寺、羊卓雍错,167852848、167852854、167852850
306,3,3,性价比高，总体超赞，有趣好玩，景色不错，,大昭寺、康定木格措景区、羊卓雍错,166239997、165405768、165472609
307,3,3,体验很好，有趣好玩，值得推荐，景色不错，,布达拉宫、稻城亚丁、羊卓雍错,164675198、164652880、163528674
308,3,3,可玩性低，,噶丹松赞林寺、纳木措景区、羊卓雍错,163696114、166530884、166739831
309,3,3,环境一流，风景如画，海拔较高，是一生必须去一次的打卡地。,扎达布日寺、洞错、罗布拉康寺,175819214、173458797、174739215
310,3,3,景色非常美丽,巴塘措普沟景区、索松村、纳木措景区,789292323、179706312、236507594
311,3,2,非常好玩！,亚丁村、纳木措景区,781709370、781706150、781707886
312,3,3,非常不错的,布达拉宫、普达措国家公园、纳木措景区,773421496、704594808、177735238
313,3,2,值得去体验一下,墨石公园景区、纳木措景区,653822723、653822401、761415971
314,3,3,十分满意！,南迦巴瓦峰、巴松措、纳木措景区,234608354、234608403、234608571
315,3,3,景色很美，值得一游。,巴松措、普达措国家公园、纳木措景区,224515439、224987603、238489826
316,3,3,很值得去。,巴松措、松赞林景区、纳木措景区,223210296、787420005、223210212
317,3,2,垃圾垃圾垃圾,南迦巴瓦峰、纳木措景区,223091492、223091464、223091436
318,3,3,景色非常好！,巴松措、珠峰大本营、纳木措景区,221851463、787486806、179000519
319,3,3,很美很美很美,噶丹松赞林寺、巴塘措普沟景区、纳木措景区,217756169、643641594、170726027
320,3,3,还可以不错,墨石公园景区、康定木格措景区、纳木措景区,214782100、213979662、181764851
321,3,3,取票方便。,大昭寺、珠峰景区、纳木措景区,214529505、227601613、167756060
322,3,3,好好好好好好好好,墨石公园景区、布达拉宫、纳木措景区,212060752、224802551、188662335
323,3,3,好，很好，非常好,大昭寺、布达拉宫、纳木措景区,211570031、219458520、179557826
324,3,2,还行还行还行还行,《文成公主》大型史诗剧、纳木措景区,191915669、191915403、191915627
325,3,1,非常漂亮，不虚此行,纳木措景区,187479244、187479202、187479111
326,3,3,很不错很不错,小昭寺、布达拉宫、纳木措景区,175015627、216282214、208600442
327,3,1,要不是是知名景点，不然从拉萨驱车3+小时，往返7小时，看这么一个游玩1小时的景点，还真的不值！！而且中间经过5+k的垭口，很容易高反。,纳木措景区,172949827、172949821、172949766
328,3,1,纳木错景区门票，在线上买真的很方便的，直接刷身份证就可以入园，可以提前买不用排队了，有时候支付还有优惠，非常不错哦，点个赞，推荐！,纳木措景区,172622178、172622189、172622177
329,3,2,去景点就要开好几个小时的车，网上订票起码在景点人多限流的时候能优先考虑，而且现在退票的时间也很方便,纳木措国家公园、纳木措景区,171788130、171788104、171788119
330,3,2,我们实名认证的情况下，在携程上购买了四张巴松措的门票。购买后是全价票。到了现场才发现，60周岁以上购票是半价。携程网作为这么大的网络，能做这么低级的错误，真的让人太失望了，而且客服投诉平台也不是很完善。,巴松措、纳木措景区,167045662、167045661、167045658
331,3,3,景色很美。,珠峰景区、稻城亚丁、纳木措景区,167022822、219342124、211192584
332,3,3,体验很好，有趣好玩，景色不错，,墨石公园景区、康定木格措景区、纳木措景区,164469318、163712523、164120830
333,3,3,景色不错，有趣好玩，体验很好，值得推荐，,《文成公主》大型史诗剧、康定木格措景区、纳木措景区,164337413、164119919、164232710
334,3,3,景色很美的,巴塘措普沟景区、巴松措、纳木措景区,163842670、177585891、228144554
335,3,3,非常值得一去的地方,布达拉宫、康定木格措景区、纳木措圣象天门,217944707、232840420、721566721
336,3,3,不错，很方便,噶丹松赞林寺、墨石公园景区、纳木措圣象天门,217443332、753105270、215830581
337,3,2,无良商家天气原因封路竟然不退票，那几百好花吗？给你买纸了,大昭寺、纳木措圣象天门,168016498、168016516、168016476
338,3,3,性价比太低,噶丹松赞林寺、康定木格措景区、纳木措国家公园,225777049、177703466、237850348
339,3,3,值得一看，,文成公主剧场、松赞林景区、纳木措国家公园,171170119、169297346、220607227
340,3,3,！！！！！,布达拉宫、松赞林景区、纳木措国家公园,167116316、181422935、179000986
341,3,3,还可以吧。,墨石公园景区、松赞林景区、纳木措国家公园,165586130、634594507、746803177
342,3,2,感觉很不错,大昭寺、纳木措国家公园,164256293、219274896、219274840
343,3,2,订票方便，刷身份证即可，很开心的一次旅行，赞赞赞赞赞赞赞赞赞赞赞赞，订票方便，刷身份证即可，很开心的一次旅行，赞赞赞赞赞赞赞赞赞赞赞赞赞,巴松措、索松村,187995914、187996089、187995998
344,3,3,不错，值得一去,墨石公园景区、松赞林景区、米堆冰川,166151911、650000765、220160074
345,3,2,好好好好好好好好好好,珠峰景区、稻城亚丁,797742009、797741519、213125298
346,3,2,景色很好！,巴塘措普沟景区、稻城亚丁,776558406、776558665、776558098
347,3,3,特别漂亮的风景,墨石公园景区、康定木格措景区、稻城亚丁,723370208、723370845、723370397
348,3,3,景色非常棒,巴塘措普沟景区、松赞林景区、稻城亚丁,230656525、201279583、223305524
349,3,2,大家千万不要定，携程完全是欺骗，下单后定的酒店根本不是上面写的酒店。看到实际酒店不一致，查了下不咋地，实际酒店价格和携程扣的价格差距非常大，提前三个星期向客服申请退，可是只要订了就别想退，要退就直接强制扣你五千，看你退不退，意思就是不管你用不用，他们五千一定是要赚到的，客服完全一副我们就这规矩强盗的样子。我打电话给酒店，酒店表示提前一两天免费退，但是要在携程申请，酒店一副死猪不怕开水烫的样子。为了避免白白损失五千，用了，最后肠子都悔青了，甚至有那种一天一百多块的民宿，完全无隔音，里面是最垃圾那种。携程的人良心都被*吃了。大家千万千万不要上当，第一次在携程订旅游产品，这辈子做的最后悔的一件事，为了坑钱这些人****，无耻至极。,康定木格措景区、稻城亚丁,179302250、179302312、179302124
350,3,1,景色很美！亚丁风景区不仅有壮丽神圣的雪山，还有辽阔的草甸、五彩斑斓的森林和碧蓝通透的海子，雪域高原最美的一切几乎都汇聚于此，这一切的一切都让人流连忘返。如当地虔诚的藏民一样，徒步转山是感受亚丁风光的最好方式。不过由于亚丁保护区海拔较高，全程徒步还是需要相当的体力。,稻城亚丁,178747323、178747341、178747354
351,3,3,不错不错很好玩下次还会再来的。,拉萨市拉萨河水利风景区、玉树草原、真巴村,175365867、174929078、175213393
352,3,3,非常非常满意,大昭寺、珠峰景区、珠穆朗玛峰,238662530、218107121、221407327
353,3,2,非常非常棒,布达拉宫、珠峰景区,239383397、211817110、210772983
354,3,1,运气爆棚，珠峰封顶露出来了，最近天气一直不太好，云很多，珠峰很难露出真容，今天在酒店看到实时状况，感觉天气还不错，立马坐最近一班车上山，真的看到了，开心😃,珠峰景区,185734732、185734655、185734669
355,3,3,值得一去，,南迦巴瓦峰、巴松措、珠峰景区,184459024、180303901、189822914
356,3,3,很好很不错,噶丹松赞林寺、文成公主剧场、珠峰景区,182563333、225175588、636921272
357,3,3,哈哈哈哈哈,大昭寺、巴松措、珠峰景区,181872752、167346108、178822412
358,3,3,环境优美。,巴松措、康定木格措景区、珠峰大本营,218003073、218224952、171932532
359,3,1,久闻世界之巅 远远不如亲自见一面 经历了108拐 吹过了5200米的风 当我站在世界之巅珠穆朗玛峰脚下 这一刻珠穆朗玛峰再也不是课本里面的珠穆朗玛峰 登高望远 一览众山小,珠峰大本营,213236836、213236843、213236906
360,3,3,就在家门口的标志性建筑物！！！,卡若拉冰川、扎什伦布寺、珠峰大本营,170854369、171211516、171068664
361,3,3,非常值得推荐,巴塘措普沟景区、巴松措、玛旁雍措,728968563、218812091、237059320
362,3,3,👍👍👍👍👍,普达措国家公园、松赞林景区、滇金丝猴国家公园,178290717、172814754、777342812
363,3,1,途经昌都住一晚，听说这里开了一个新城，一早就过来这里看看，想不到这里的风景不错，特别的是这个建筑风格真的很好看，在这里漫步特适合情侣👩‍❤️‍👨去的好地方,格萨尔王城,167878016、167877984、167876434
364,3,2,不错，推荐,普达措国家公园、松赞林景区,778475034、780581810、780490663
365,3,1,整体满意。,松赞林景区,232603036、232602973、232603113
366,3,2,非常壮观的景观，寺庙金碧辉煌，可惜讲解不是适时的，又请不到专业讲解，走马观花看了一遍。,噶丹松赞林寺、松赞林景区,223333797、223333664、223333888
367,3,3,值得一看的,《文成公主》大型史诗剧、大昭寺、松赞林景区,221012576、167351259、166126714
368,3,3,非常方便快捷,南迦巴瓦峰、墨石公园景区、松赞林景区,217722793、178969612、210776637
369,3,2,值得一去的景区,巴塘措普沟景区、松赞林景区,185982847、654297351、167274429
370,3,3,值得一游的景点,巴松措、康定木格措景区、松赞林景区,185754801、164923350、235338258
371,3,2,普达措森林公园应该算是香格里拉附近最大的景区了吧，因为要赶火车，我们只在里面待了两个多小时 游玩了属都湖就没有再去碧塔海。进入景区先乘观光大巴，大巴要盘山蛮长时间才能到第一站属都湖，然后进入3.3公里的徒步，不过基本都是木质栈道，所以走起来比较方便。四月底的香格里拉温度还是比较低，由于阴天没有太阳，前一晚还下过雨导致景区风也很大，草甸还处于微微有点绿的状态，不过里面马牛都是自由吃草的状态。属都湖以及原始森林还是很美，远处能看到一部分雪山🏔️。原始森林里有不少小松鼠🐿️，不怕人，会讨食吃，很可爱。这里海拔有四千多米，如果高反严重还是准备氧气罐吸一吸。属都湖结束乘大巴是先返回景区大门口，如果要去碧塔海再乘大巴过去。如果夏天来普达措应该会更美！,普达措国家公园、松赞林景区,181603343、181603870、181608631
372,3,3,景色挺好的,噶丹松赞林寺、巴塘措普沟景区、松赞林景区,181160916、650699015、172960753
373,3,3,拍照还可以,噶丹松赞林寺、墨石公园景区、松赞林景区,180569580、179260871、172771777
374,3,3,很有特色，值得一去,噶丹松赞林寺、大昭寺、松赞林景区,179802888、165513852、167735883
375,3,3,网上购票很方便,噶丹松赞林寺、巴塘措普沟景区、松赞林景区,178616857、231987554、167679815
376,3,2,。。。。。,噶丹松赞林寺、松赞林景区,175343535、167337923、163464004
377,3,3,值得一游。,墨石公园景区、普达措国家公园、松赞林景区,173503727、824055261、178107466
378,3,2,小布达拉宫！,噶丹松赞林寺、松赞林景区,173014103、178301486、166340156
379,3,3,挺好的，值得一看,世界柏树王园林、噶丹松赞林寺、松赞林景区,172201648、662648288、192899652
380,3,2,很美的地方 淡季人很少 但是风景真的很美 值得一去 留下了深刻记忆 美丽的地方。美丽 美丽的地方 去的时候有点下小雪 很美,普达措国家公园、松赞林景区,168950890、168950862、168950883
381,3,1,几座***寺庙看起来还不错,松赞林景区,166502699、166502703、166502698
382,3,3,景色还可以吧,巴塘措普沟景区、巴松措、来古冰川,206046919、666912128、733973465
383,3,1,还不错，超乎想象。,来古冰川,204097328、204097321、204097286
384,3,3,还可以吧！,墨石公园景区、巴松措、普达措国家公园,761267529、679684713、219414854
385,3,1,景区门口有美食街，可以在那么用餐；景区整体环境都不错，自然生态环境保持的很好，但园区接驳车管理较差，游玩体验被大打折扣，完全没有工作人员维护接驳车排队秩序，有些游客随意插队只能靠守秩序的游客监督，没有官方人员制止，接驳车等待时间也非常长,普达措国家公园,698956917、698956700、698956553
386,3,3,非常不错的体验，强烈推荐！,噶丹松赞林寺、明永冰川、普达措国家公园,232840161、232840322、232840126
387,3,3,非常漂亮，值得一去,巴塘措普沟景区、康定木格措景区、普达措国家公园,213012780、215909695、216409782
388,3,1,可能是我来的季节不对，除了大没什么，真的没什么！,普达措国家公园,180130613、180130605、180130621
389,3,2,值得推荐，有趣好玩，体验很好，景色不错，,大昭寺、普达措国家公园,164677695、163602843、164432084
390,3,1,新都桥镇在国道318川藏线南北岔路口，其风光秀丽，神奇的光线，无垠的草原，弯弯的小溪，金黄的柏杨，连绵起伏的山峦，错落有致的藏寨，星星点点的牛羊吸引了来自全世界的旅游爱好者和摄影爱好者……被称作“光与影的世界”、“摄影家的天堂”。,新都桥,166800418、165904429、164231350
391,3,2,很好，很漂亮,噶丹松赞林寺、措木及日,179231954、178718523、165157896
392,3,3,景点位置非常好找，交通也很方便,大昭寺、布达拉宫、扎达布日寺,170884217、169996436、170045364
393,3,3,这里景色很美趣味性很强性价比很高，,大昭寺、尼洋河、怒江72拐,168012789、166822579、165668089
394,3,3,风景特别好,墨石公园景区、奇林峡风景区、康定木格措景区,233062852、175001048、217621692
395,3,2,风景漂亮值得推荐,墨石公园景区、康定木格措景区,232881762、232881909、232881839
396,3,2,怎么会有这么美丽的地方呢？在这里两天一晚仿佛在一个奇妙的梦境傍晚去观景台结果突然下雨，我们也还是淋了一会没有急着回客栈因为太美了！！真的好贪恋这里的景色！！看了一天还是看不够的…,墨石公园景区、康定木格措景区,230294478、230105576、230105527
397,3,2,体验感不错,八廓街、康定木格措景区,227757643、227757594、171336443
398,3,3,非常nice,巴松措、布达拉宫、康定木格措景区,220510886、244816664、244816237
399,3,3,景色非常漂亮,巴塘措普沟景区、巴松措、康定木格措景区,220278164、181573360、227102100
400,3,2,风景很美好,噶丹松赞林寺、康定木格措景区,219708784、732950751、183885066
401,3,2,非常棒的体验,布达拉宫、康定木格措景区,215342590、768117393、221705765
402,3,3,很值得一去。,冈仁波齐、布达拉宫、康定木格措景区,211948094、179129565、182193474
403,3,1,购买很方便，体验非常棒！,康定木格措景区,211008085、211008064、211008036
404,3,1,药池沸泉到七色海站可徒步可乘车，七色海站可在空中栈道站下车，近距离欣赏松萝，打卡七色海观景台，可向右打卡原始森林，可向左打卡高山草甸，然后在七色海餐厅站上车下行到游客中心。,康定木格措景区,199887878、199887794、199887759
405,3,1,景点卫生条件不错，有山有水，夏天很凉快。设置了好几个网红打卡点，比较有意思，七色海的椰奶和情歌表演节目很不错，赏心悦目，全程用了近5小时。,康定木格措景区,188386906、188386864、188386703
406,3,1,使用携程，方便又省心，省去了排队时间，直接刷身份证进入景区，非常方便，推荐使用 使用携程，方便又省心，省去了排队时间，直接刷身份证进入景区，非常方便，推荐使用,康定木格措景区,171993116、171993071、171993063
407,3,1,上去就一个湖，天气不好，没什么好看的，里面的分景点，比如泡脚的温泉还需要另外收费，有点坑，另外观光车不开空调，夏天比较热！！！！！上去，到湖那比较凉快，可以注意保暖！！！,康定木格措景区,171666578、171666610、171666548
408,3,1,太值得去了，景区设施还是不错的，风景也纯天然，,康定木格措景区,167986107、167986099、167986106
409,3,1,总体来说还是不错的，可能我来的季节不合适吧,康定木格措景区,165745002、165745000、165744984
410,3,2,体验很好，值得推荐，景色不错，,大昭寺、康定木格措景区,164248500、164515413、163870639
